61,1905
49,1737
7,1521
80,1416
75,1377
66,1368
184,1361
58,1322
101,1289
85,1265
68,1238
81,1236
56,1175
52,1091
238,1082
87,1078
67,1071
71,1070
76,1070
111,1065
47,1055
136,1032
63,1031
211,1023
70,1003
243,989
236,986
39,979
323,967
166,944
458,922
161,920
244,920
59,875
525,857
29,829
153,800
206,779
699,740
541,731
657,718
3,711
125,701
69,692
42,679
55,667
353,648
146,643
226,641
313,635
43,613
531,610
231,607
45,595
213,585
594,585
987,581
182,572
214,563
944,550
766,541
108,539
630,539
221,537
677,537
62,534
589,531
60,526
225,526
54,522
223,520
51,516
46,503
401,502
653,497
667,497
50,489
142,488
83,484
345,481
533,476
8,465
593,460
444,457
875,456
890,452
1223,451
79,449
993,449
1059,446
128,445
126,444
318,444
150,442
123,439
245,439
333,438
1454,435
1215,432
1058,429
98,425
826,425
25,423
290,423
948,421
127,420
1178,420
149,414
104,411
495,410
163,407
1175,406
679,402
227,398
53,397
598,397
24,395
124,395
364,395
874,394
287,393
288,393
1340,393
116,389
48,384
449,380
870,379
282,377
208,376
361,371
706,370
1177,370
1457,366
113,365
535,359
248,355
876,355
708,352
981,352
286,350
982,350
167,349
117,344
405,343
900,337
1191,335
882,334
291,333
931,333
1236,333
558,332
515,330
118,329
1491,329
658,324
873,323
309,321
97,319
72,317
595,316
133,311
954,310
839,304
2396,304
607,302
745,302
1453,302
274,301
246,300
1582,300
129,299
218,299
433,299
27,298
86,296
432,296
898,296
1473,294
355,292
649,289
1733,286
1094,284
1064,283
135,282
697,282
1143,282
478,281
895,281
1492,281
77,280
984,280
222,279
521,279
28,277
154,277
714,277
440,275
838,275
1928,273
237,271
918,270
489,268
171,266
224,265
176,263
455,263
272,262
304,262
690,261
701,261
91,260
94,258
490,258
1496,258
96,257
156,257
413,255
1684,254
781,253
1772,253
114,252
210,251
378,251
442,250
2069,250
2586,249
319,246
681,246
273,244
1056,244
1182,244
301,243
518,242
908,242
18,241
1066,239
619,238
788,238
1123,238
185,236
919,236
191,235
629,235
1552,235
897,234
1464,234
524,233
1685,233
186,232
1735,231
1455,230
1040,229
30,228
348,228
722,228
1545,228
1553,228
1989,228
349,226
399,226
544,225
692,225
26,224
209,222
312,222
92,221
446,221
684,220
1355,218
157,217
1555,216
374,215
292,214
1452,214
1075,213
44,212
1139,212
833,211
1097,211
40,210
1354,210
2982,210
3088,209
189,208
963,208
1352,208
1353,208
137,206
356,206
414,206
956,206
1146,206
1317,206
2697,206
756,205
509,204
727,204
1077,204
412,203
1262,203
1001,201
2158,201
279,200
474,200
830,200
832,200
1076,199
242,198
729,197
1100,196
1370,196
73,195
878,195
909,195
1683,195
299,193
2473,192
894,191
1017,191
1061,191
64,190
1025,190
1551,190
215,189
289,189
555,189
19,188
689,188
132,187
239,187
637,187
836,187
1002,187
95,186
947,185
1072,185
4262,185
780,184
879,184
1929,184
159,183
651,183
680,183
217,182
865,182
2053,182
635,181
1978,181
2099,181
550,180
1206,180
1106,179
614,178
1572,178
1931,177
753,176
979,176
1493,176
93,175
617,175
1468,175
2264,175
2723,175
2580,173
546,172
1036,172
3254,172
195,171
314,171
1079,171
1214,171
2761,171
3308,170
180,169
380,169
751,169
1184,169
2378,169
568,167
1559,167
